command,cpu_usage,timestamp
chrome,1130.9,2023-08-31 10:30:08
chrome,1130.9,2023-08-31 10:30:08
chrome,1130.9,2023-08-31 10:30:08
java,0.0,2023-08-31 10:30:08
java,0.0,2023-08-31 10:30:08
fluentd,0.0,2023-08-31 10:30:08
kworker+,0.0,2023-08-31 10:30:08
ruby,0.0,2023-08-31 10:30:08
java,0.0,2023-08-31 10:30:08
top,0.0,2023-08-31 10:30:08
,,2023-08-31 10:30:18
,,2023-08-31 10:30:18
,,2023-08-31 10:30:18
,,2023-08-31 10:30:18
,,2023-08-31 10:30:18
,,2023-08-31 10:30:18
,,2023-08-31 10:30:18
gnome-s+,12.5,2023-08-31 10:30:18
gnome-t+,6.2,2023-08-31 10:30:18
top,6.2,2023-08-31 10:30:18
systemd,0.0,2023-08-31 10:30:18
kthreadd,0.0,2023-08-31 10:30:18
rcu_gp,0.0,2023-08-31 10:30:18
rcu_par+,0.0,2023-08-31 10:30:18
slub_fl+,0.0,2023-08-31 10:30:18
netns,0.0,2023-08-31 10:30:18
kworker+,0.0,2023-08-31 10:30:18
mm_perc+,0.0,2023-08-31 10:30:18
rcu_tas+,0.0,2023-08-31 10:30:18
rcu_tas+,0.0,2023-08-31 10:30:18
rcu_tas+,0.0,2023-08-31 10:30:18
ksoftir+,0.0,2023-08-31 10:30:18
rcu_pre+,0.0,2023-08-31 10:30:18
migrati+,0.0,2023-08-31 10:30:18
idle_in+,0.0,2023-08-31 10:30:18
cpuhp/0,0.0,2023-08-31 10:30:18
cpuhp/1,0.0,2023-08-31 10:30:18
idle_in+,0.0,2023-08-31 10:30:18
migrati+,0.0,2023-08-31 10:30:18
ksoftir+,0.0,2023-08-31 10:30:18
kworker+,0.0,2023-08-31 10:30:18
cpuhp/2,0.0,2023-08-31 10:30:18
idle_in+,0.0,2023-08-31 10:30:18
migrati+,0.0,2023-08-31 10:30:18
ksoftir+,0.0,2023-08-31 10:30:18
kworker+,0.0,2023-08-31 10:30:18
cpuhp/3,0.0,2023-08-31 10:30:18
idle_in+,0.0,2023-08-31 10:30:18
migrati+,0.0,2023-08-31 10:30:18
ksoftir+,0.0,2023-08-31 10:30:18
kdevtmp+,0.0,2023-08-31 10:30:18
inet_fr+,0.0,2023-08-31 10:30:18
kauditd,0.0,2023-08-31 10:30:18
khungta+,0.0,2023-08-31 10:30:18
oom_rea+,0.0,2023-08-31 10:30:18
